id,score_name,description,formula,reason
1,recycling_efficiency_score,Measures improvement in recyclable waste collection versus general waste reduction,c_recyclable - l_recyclable - 0.5*(c_general - l_general),"This score rewards increased recycling while penalizing increases in general waste. The 0.5 coefficient reflects that recyclables should grow as general waste decreases, indicating better waste separation. Positive score = improved recycling behavior."
2,hazardous_risk_score,Evaluates the reduction of hazardous and bio-hazardous waste combined,-(c_hazardous + c_bio_hazardous) + (l_hazardous + l_bio_hazardous),"Hazardous materials pose environmental and health risks. This score measures reduction in both hazardous categories. Higher positive values indicate successful hazardous waste minimization. The negative sign on current values means increases in hazardous waste lower the score."
3,organic_diversion_score,Measures organic waste diversion effectiveness accounting for waste-to-energy conversion,(c_organic - l_organic) - 0.3*(c_waste_to_energy - l_waste_to_energy),"Organic waste should ideally be composted or converted to energy. This score tracks organic waste changes while considering energy conversion as a partial solution (30% credit). Negative scores are better as they indicate reduced organic waste generation."
4,construction_volume_impact,Assesses construction waste volume changes relative to overall waste trends,1.5*(l_construction - c_construction) - 0.2*(c_general - l_general),"Construction waste is heavy and voluminous. This score gives 1.5x weight to construction waste reduction (higher environmental impact) while slightly penalizing general waste increases. Positive scores indicate successful construction waste management."
5,electronic_waste_responsibility,Measures e-waste management effectiveness,l_electronic - c_electronic,"Electronic waste contains valuable and toxic materials requiring special handling. This simple difference rewards any reduction in e-waste generation. Positive values indicate better e-waste management through prevention, reuse, or proper channeling to recyclers."
6,overall_waste_reduction_rate,Calculates total waste reduction across all categories,l_construction + l_organic + l_recyclable + l_general + l_electronic + l_waste_to_energy + l_hazardous + l_bio_hazardous - (c_construction + c_organic + c_recyclable + c_general + c_electronic + c_waste_to_energy + c_hazardous + c_bio_hazardous),"This fundamental metric tracks total waste generation change. Positive values indicate overall waste reduction success. It's the baseline metric for organizational waste management performance, showing whether total environmental footprint is decreasing."
7,circular_economy_score,Evaluates progress toward circular economy principles through recyclable material recovery,2.0*(c_recyclable - l_recyclable) - (c_general + c_construction - l_general - l_construction),"Circular economy emphasizes material recovery and reuse. This score heavily rewards recyclable collection increases (2x weight) while penalizing increases in general and construction waste. High positive scores indicate strong circular economy adoption."
8,waste_intensity_improvement,Measures waste generation efficiency improvement,100 * ((l_construction + l_organic + l_general + l_hazardous + l_bio_hazardous) - (c_construction + c_organic + c_general + c_hazardous + c_bio_hazardous)) / (l_construction + l_organic + l_general + l_hazardous + l_bio_hazardous + 1),"Percentage-based metric showing improvement in problematic waste categories (excluding recyclables and energy conversion). Positive percentages indicate better waste intensity management. The +1 denominator prevents division by zero for new facilities."
9,hazardous_compliance_index,Assesses compliance with hazardous waste reduction targets,100 - 100*(c_hazardous + c_bio_hazardous) / (l_hazardous + l_bio_hazardous + 0.1),"This index measures hazardous waste reduction as a percentage. Values above 0 indicate reduction; approaching 100 means near-complete elimination. The 0.1 offset prevents mathematical errors when baseline is zero. Critical for regulatory compliance."
10,organic_processing_efficiency,Evaluates organic waste management through composting and energy recovery,(l_organic - c_organic) + 0.5*(c_waste_to_energy - l_waste_to_energy),"Organic waste should be diverted from landfills. This score rewards direct organic waste reduction fully, plus gives 50% credit for waste-to-energy increases (assuming organic content). Positive scores indicate improved organic waste processing infrastructure."
11,resource_recovery_potential,Identifies untapped potential in recyclable and organic material streams,c_recyclable + c_organic - 0.8*(l_recyclable + l_organic),"This forward-looking metric identifies whether recoverable materials (recyclables and organics) are increasing or decreasing. Values below zero suggest growing recovery potential. The 0.8 coefficient sets a 20% reduction target as baseline expectation."
12,general_waste_minimization,Focuses specifically on general waste reduction as indicator of waste prevention,l_general - c_general,"General waste typically goes to landfill and represents failure in source separation. This simple metric tracks general waste reduction. Positive values indicate successful waste prevention and separation programs. It's a key indicator of waste awareness."
13,special_waste_handling_score,Evaluates management of waste requiring special handling (hazardous + electronic + bio-hazardous),l_hazardous + l_electronic + l_bio_hazardous - (c_hazardous + c_electronic + c_bio_hazardous),"Special waste categories require costly and regulated handling. This composite score tracks reduction in all special waste types. Positive scores indicate reduced liability and improved safety. Critical for operational risk management."
14,diversion_rate_improvement,Calculates improvement in waste diversion from landfill,100*(c_recyclable + c_waste_to_energy + c_organic) / (c_construction + c_organic + c_recyclable + c_general + c_electronic + c_waste_to_energy + c_hazardous + c_bio_hazardous + 1) - 100*(l_recyclable + l_waste_to_energy + l_organic) / (l_construction + l_organic + l_recyclable + l_general + l_electronic + l_waste_to_energy + l_hazardous + l_bio_hazardous + 1),"Measures percentage point change in waste diverted from landfills (recyclables + organics + waste-to-energy) relative to total waste. Positive values indicate improved diversion rates, a key sustainability KPI. The +1 prevents division errors."
15,construction_recycling_rate,Assesses construction waste recycling performance,100*(c_recyclable) / (c_construction + c_recyclable + 0.1) - 100*(l_recyclable) / (l_construction + l_recyclable + 0.1),"Construction projects generate recyclable materials (metal, wood, concrete). This metric tracks the percentage of construction-related material being recycled. Positive values show improved construction waste recycling. Critical for green building certifications."
16,contamination_risk_index,Evaluates risk of waste stream contamination affecting recycling,c_general / (c_recyclable + 0.1) - l_general / (l_recyclable + 0.1),"High general waste relative to recyclables suggests poor separation and contamination risk. This ratio-based index tracks contamination potential. Negative values indicate improved waste separation quality. Essential for maintaining recycling program effectiveness."
17,energy_recovery_optimization,Measures efficiency of waste-to-energy conversion relative to organic waste,(c_waste_to_energy - l_waste_to_energy) - 0.3*(c_organic - l_organic),"Waste-to-energy facilities can process organic materials efficiently. This score rewards increased energy recovery while penalizing organic waste growth (suggesting missed energy recovery opportunities). Positive scores indicate optimized energy recovery from waste."
18,zero_waste_progress_score,Tracks overall progress toward zero waste goals across all reduction metrics,0.4*(l_general - c_general) + 0.3*(l_hazardous - c_hazardous) + 0.2*(c_recyclable - l_recyclable) + 0.1*(l_construction - c_construction),"Zero waste requires reducing landfill waste (general, hazardous) while increasing recovery (recyclables). Weighted scoring reflects priority: 40% general waste reduction, 30% hazardous reduction, 20% recyclable increase, 10% construction reduction. Positive scores show zero waste progress."
19,bio_safety_improvement,Specifically tracks bio-hazardous waste reduction for safety compliance,100*(l_bio_hazardous - c_bio_hazardous) / (l_bio_hazardous + 0.01),"Bio-hazardous waste (medical, biological) requires strict handling. This percentage metric tracks reduction rate. Positive values indicate improved bio-safety practices. The 0.01 offset handles low baseline volumes. Critical for facilities with biological operations."
20,sustainable_material_flow,Evaluates overall material sustainability through balanced waste reduction,0.3*(l_general - c_general) + 0.25*(c_recyclable - l_recyclable) + 0.25*(l_hazardous - c_hazardous) + 0.2*(l_organic - c_organic),"Sustainable material management balances multiple objectives: reduce general waste (30%), increase recycling (25%), reduce hazardous waste (25%), reduce organic waste (20%). This composite score tracks overall material sustainability. Positive scores indicate sustainable material flow improvement."
21,waste_prevention_effectiveness,Measures source reduction effectiveness excluding recovery activities,l_construction + l_general + l_hazardous + l_electronic - (c_construction + c_general + c_hazardous + c_electronic),"Waste prevention at source is most effective strategy. This metric excludes recyclables and organics to focus on true prevention of problematic waste. Positive values indicate successful source reduction programs. Highest-priority waste management strategy."
22,recyclable_contamination_alert,Early warning indicator for recycling quality issues,c_general / (c_general + c_recyclable + 0.1) - l_general / (l_general + l_recyclable + 0.1),"Monitors the ratio of general waste to combined general+recyclable. Increasing ratios suggest contamination or poor separation quality. Positive values trigger alerts for recycling quality decline. Preventive metric for maintaining recycling program viability."
23,hazardous_volume_intensity,Tracks hazardous waste generation intensity,1000*(c_hazardous + c_bio_hazardous) / (c_construction + c_organic + c_recyclable + c_general + c_electronic + c_waste_to_energy + c_hazardous + c_bio_hazardous + 1) - 1000*(l_hazardous + l_bio_hazardous) / (l_construction + l_organic + l_recyclable + l_general + l_electronic + l_waste_to_energy + l_hazardous + l_bio_hazardous + 1),"Expresses hazardous waste as parts per thousand of total waste. Negative values indicate reduced hazardous intensity (better performance). The per-thousand scale makes small changes visible. Critical for tracking hazardous material substitution programs."
24,organic_to_energy_conversion_rate,Measures effectiveness of converting organic waste to energy,100*(c_waste_to_energy) / (c_organic + c_waste_to_energy + 0.1) - 100*(l_waste_to_energy) / (l_organic + l_waste_to_energy + 0.1),"Calculates percentage of organic-suitable waste being converted to energy rather than composted or landfilled. Positive values show improved energy recovery infrastructure utilization. Relevant for facilities with waste-to-energy access."
25,construction_waste_intensity,Tracks construction waste relative to overall waste generation,100*(c_construction) / (c_construction + c_organic + c_recyclable + c_general + c_electronic + c_waste_to_energy + c_hazardous + c_bio_hazardous + 1) - 100*(l_construction) / (l_construction + l_organic + l_recyclable + l_general + l_electronic + l_waste_to_energy + l_hazardous + l_bio_hazardous + 1),"Measures construction waste as percentage of total waste. Negative values indicate reduced construction intensity (better). Useful for facilities with variable construction activity to normalize performance comparisons."
26,recyclable_recovery_momentum,Assesses momentum in recyclable material recovery,2.0*(c_recyclable - l_recyclable) - (c_construction + c_general - l_construction - l_general),"Similar to circular economy score but focuses on recovery momentum. Double-weights recyclable increases while penalizing increases in virgin material waste (construction and general). Positive scores indicate strong recycling program growth and momentum."
27,electronic_stewardship_index,Evaluates electronic waste stewardship and lifecycle management,100*(l_electronic - c_electronic) / (l_electronic + 0.1),"E-waste contains critical materials and toxins. This percentage metric tracks reduction rate, indicating effective electronics lifecycle management (repair, reuse, proper disposal). Positive values show improved e-waste stewardship. The 0.1 offset handles zero baselines."
28,landfill_diversion_success,Measures success in diverting waste from landfills,c_recyclable + c_organic + c_waste_to_energy - (l_recyclable + l_organic + l_waste_to_energy) - 0.5*(c_general + c_hazardous - l_general - l_hazardous),"Tracks increases in diverted waste (recyclables, organics, energy) while penalizing increases in landfill-bound waste (general, hazardous). The 0.5 coefficient balances the formula. Positive scores indicate successful landfill diversion strategy."
29,total_environmental_impact_score,Comprehensive environmental impact score weighting waste types by environmental harm,0.1*(l_construction - c_construction) + 0.15*(l_organic - c_organic) + 0.15*(c_recyclable - l_recyclable) + 0.2*(l_general - c_general) + 0.15*(l_electronic - c_electronic) + 0.1*(c_waste_to_energy - l_waste_to_energy) + 0.3*(l_hazardous - c_hazardous) + 0.25*(l_bio_hazardous - c_bio_hazardous),"Weights waste types by environmental impact: hazardous (30%), bio-hazardous (25%), general (20%), organic/electronic/recycling (15% each), construction/energy (10% each). Comprehensive sustainability metric incorporating all waste streams with appropriate environmental weighting. Positive scores indicate reduced environmental impact."
30,waste_segregation_quality,Evaluates quality of waste segregation practices,c_recyclable / (c_recyclable + c_general + 0.1) - l_recyclable / (l_recyclable + l_general + 0.1),"Measures recyclables as proportion of recyclable+general waste. Increasing ratios indicate improved segregation and awareness. Positive values show better segregation quality. Key indicator of waste management program effectiveness and employee engagement."